sessionId,agent,start_ts,last_ts
66a678dc-e43d-4db2-86c1-f93ea54b69ad,UNKNOWN,2025-05-21T05:57:48,2025-05-21T23:01:59.025Z
f5a74925-877c-4c22-9ab0-a14099daca04,UNKNOWN,2025-05-21T05:57:48,2025-05-22T13:29:04.428Z
6c859161-b569-4a87-a53e-3b88d6943c0d,CODE,2025-05-21T07:44:42,2025-05-21T13:50:53.402Z
51f1fab0-6794-4a17-8951-7f13792c6f8b,GAMEDESIGN,2025-05-21T08:12:56,2025-05-22T13:33:37.782Z
932ef584-cac9-4868-ae0b-30fed3de40e5,GAMEDESIGN,2025-05-21T08:12:56,2025-05-21T13:47:00.598Z
b607ed31-0de8-4db1-b3df-2a1bcaec0d66,RESEARCH,2025-05-21T09:07:30,2025-05-22T02:01:22.574Z
2fc7114d-e394-40c1-96c5-949c4b47dc85,NEXUS,2025-05-21T13:36:27,2025-05-22T02:36:45.076Z
c4088511-fc4e-4916-bd88-c4ebf22ca138,NEXUS,2025-05-21T13:36:27,2025-05-22T00:49:20.274Z
bf7a50b0-607c-43c6-bb3e-1507b9d29d7f,UNKNOWN,2025-05-22T00:32:48,2025-05-22T00:39:07.355Z
ce51677e-8f35-45e0-984d-6dc767ec416e,NEXUS,2025-05-22T02:40:21,2025-05-22T13:32:32.852Z
2e0df345-b742-4cf8-8bd5-439d3f2ca869,GOV,2025-05-22T06:35:01,2025-05-26T05:45:08.757Z
75583faf-a5d3-428f-89ef-34e2477ea85a,GOV,2025-05-22T06:35:01,2025-05-24T16:47:30.002Z
f78af070-0032-4259-81f3-98d77e14c34e,GOV,2025-05-22T06:35:01,2025-05-25T08:54:51.993Z
259663e5-c6d8-40b7-8e40-322e62bd08ff,NEXUS,2025-05-22T13:08:52,2025-05-24T15:40:10.007Z
e94c92cf-d73f-460c-b988-298cb07286e9,NEXUS,2025-05-22T13:08:52,2025-05-23T13:08:56.411Z
f618059d-fa9b-4d70-b17e-06f0b2de2dfa,UNKNOWN,2025-05-23T09:28:16,2025-05-23T09:31:21.421Z
03cdfb8a-0c30-46e1-a345-140eb3c4af51,NEXUS,2025-05-24T15:39:43,2025-05-25T08:05:41.939Z
02ca7d17-cc53-4647-9b6a-e5f997434f19,BUILD,2025-05-24T19:14:30,2025-05-25T08:50:51.867Z
0e9196f6-e812-4c66-acfc-40e00f8cf909,BUILD,2025-05-24T19:26:28,2025-05-26T03:02:09.049Z
ec6b0529-af70-4a85-aeca-877d143224c8,NEXUS,2025-05-25T04:18:14,2025-05-25T08:55:00.489Z
dc466590-0128-4cfb-8f58-f7f288888ea1,CRITIC,2025-05-25T11:41:48,2025-05-26T07:20:16.397Z
